epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0361,1.69646,1.99808,0.96841,0.22153,0.54887,0.20003,0.12237,1.26235,1.75478,0.85855,0.000656566,0.000656566,0.000656566
2,65.6249,1.09958,1.48493,0.83731,0.08226,0.86346,0.0784,0.05211,1.08988,inf,0.86287,0.00129703,0.00129703,0.00129703
3,92.9862,1.19788,1.47607,0.84072,0.28076,0.7163,0.30602,0.20605,1.0376,1.63838,0.85101,0.0019111,0.0019111,0.0019111
4,119.698,1.04356,1.41522,0.82175,0.29606,0.71804,0.335,0.24555,0.93292,1.41946,0.8332,0.0018812,0.0018812,0.0018812
5,147.532,1.03727,1.4446,0.81811,0.29759,0.76011,0.32186,0.19916,1.24301,1.43079,0.83832,0.0018416,0.0018416,0.0018416
6,173.803,0.93645,1.33082,0.81352,0.28349,0.76112,0.31429,0.21604,0.88799,1.41294,0.84393,0.001802,0.001802,0.001802
7,206.971,0.9213,1.36439,0.80874,0.3207,0.78948,0.36551,0.29433,0.7581,1.30888,0.81716,0.0017624,0.0017624,0.0017624
8,233.454,0.83557,1.32723,0.80191,0.36293,0.70335,0.41188,0.34379,0.60033,1.28862,0.8112,0.0017228,0.0017228,0.0017228
9,259.789,0.82228,1.26308,0.80313,0.34515,0.66491,0.38953,0.27676,0.96502,1.35588,0.83241,0.0016832,0.0016832,0.0016832
10,286.237,0.84767,1.31308,0.80129,0.0959,0.68849,0.08119,0.05979,0.88163,inf,0.84534,0.0016436,0.0016436,0.0016436
11,312.685,0.95204,1.28673,0.80319,0.47049,0.73944,0.52077,0.42179,0.68822,1.1324,0.81479,0.001604,0.001604,0.001604
12,339.186,0.81842,1.17557,0.79762,0.52946,0.74879,0.60542,0.47729,0.72116,1.1184,0.80978,0.0015644,0.0015644,0.0015644
13,365.556,0.75672,1.16496,0.79747,0.56966,0.70354,0.61356,0.50751,0.65098,1.02454,0.81122,0.0015248,0.0015248,0.0015248
14,392.288,0.70418,1.15334,0.79045,0.4336,0.7268,0.50585,0.37448,0.77317,1.16818,0.80737,0.0014852,0.0014852,0.0014852
15,418.619,0.69724,1.09888,0.79253,0.56443,0.70118,0.65127,0.52487,0.75996,1.04264,0.80866,0.0014456,0.0014456,0.0014456
16,446.711,0.73444,1.13042,0.7967,0.61287,0.65966,0.67465,0.59172,0.53005,0.93425,0.80597,0.001406,0.001406,0.001406
17,477.237,0.75502,1.11246,0.79364,0.47792,0.67996,0.55824,0.36629,1.06516,1.24245,0.82492,0.0013664,0.0013664,0.0013664
18,508.152,0.7345,1.05361,0.7932,0.61703,0.72774,0.72619,0.61054,0.60615,0.98633,0.80814,0.0013268,0.0013268,0.0013268
19,545.306,0.66753,0.95199,0.78985,0.74542,0.77625,0.82877,0.7203,0.54843,0.82043,0.80617,0.0012872,0.0012872,0.0012872
20,581.499,0.6609,0.91125,0.78873,0.76464,0.79329,0.853,0.72501,0.60433,0.70594,0.8066,0.0012476,0.0012476,0.0012476
21,607.934,0.64342,0.87784,0.78905,0.78976,0.79674,0.87343,0.76151,0.5107,0.72496,0.80232,0.001208,0.001208,0.001208
22,634.27,0.64587,0.87459,0.78871,0.75908,0.7748,0.85347,0.75842,0.47331,0.7264,0.80137,0.0011684,0.0011684,0.0011684
23,660.709,0.61526,0.82164,0.78748,0.76596,0.80997,0.865,0.76644,0.49503,0.68752,0.80456,0.0011288,0.0011288,0.0011288
24,687.097,0.65537,0.84384,0.78917,0.78562,0.80199,0.87567,0.73672,0.59246,0.7487,0.80191,0.0010892,0.0010892,0.0010892
25,713.505,0.62577,0.79528,0.78604,0.82153,0.84189,0.90642,0.8322,0.40594,0.5877,0.80102,0.0010496,0.0010496,0.0010496
26,739.874,0.58522,0.76538,0.78236,0.82138,0.84717,0.90965,0.82921,0.41251,0.56736,0.79903,0.00101,0.00101,0.00101
27,766.266,0.59111,0.75608,0.7828,0.80381,0.8417,0.89643,0.75837,0.58443,0.62484,0.8006,0.0009704,0.0009704,0.0009704
28,792.648,0.62527,0.73825,0.78421,0.83816,0.83427,0.91323,0.73425,0.70689,0.60978,0.80308,0.0009308,0.0009308,0.0009308
29,818.931,0.57341,0.71673,0.78086,0.78406,0.83173,0.88535,0.79384,0.4566,0.73118,0.79856,0.0008912,0.0008912,0.0008912
30,845.286,0.55166,0.70836,0.78355,0.84068,0.81425,0.90946,0.83093,0.40293,0.60466,0.79793,0.0008516,0.0008516,0.0008516
31,871.868,0.54238,0.70004,0.78235,0.84063,0.85313,0.92526,0.85484,0.38526,0.5776,0.79587,0.000812,0.000812,0.000812
32,898.247,0.54063,0.68622,0.78057,0.86443,0.85557,0.93199,0.84824,0.4123,0.54119,0.79806,0.0007724,0.0007724,0.0007724
33,924.55,0.52733,0.67476,0.78044,0.87088,0.83445,0.93145,0.87996,0.32553,0.50768,0.7957,0.0007328,0.0007328,0.0007328
34,951.126,0.5186,0.65235,0.78004,0.87119,0.87068,0.93964,0.84884,0.3962,0.49397,0.79734,0.0006932,0.0006932,0.0006932
35,977.788,0.53973,0.66992,0.77857,0.86194,0.88196,0.93915,0.86472,0.36586,0.47362,0.79652,0.0006536,0.0006536,0.0006536
36,1004.16,0.49175,0.61668,0.77943,0.86749,0.87108,0.94045,0.85754,0.38922,0.49647,0.79708,0.000614,0.000614,0.000614
37,1030.66,0.52379,0.63653,0.78026,0.86682,0.86038,0.9329,0.84675,0.38127,0.51354,0.7966,0.0005744,0.0005744,0.0005744
38,1057.43,0.49992,0.62259,0.77843,0.87651,0.87561,0.94727,0.89459,0.30372,0.45505,0.79493,0.0005348,0.0005348,0.0005348
39,1083.95,0.48184,0.6144,0.77683,0.88106,0.8905,0.9493,0.88531,0.32035,0.42454,0.79524,0.0004952,0.0004952,0.0004952
40,1110.38,0.49162,0.60681,0.77833,0.87232,0.86964,0.94307,0.84903,0.39235,0.45879,0.79514,0.0004556,0.0004556,0.0004556
41,1157.45,0.43591,0.5275,0.77935,0.85683,0.89628,0.94269,0.86365,0.37636,0.48934,0.79482,0.000416,0.000416,0.000416
42,1183.2,0.45797,0.53086,0.78006,0.87216,0.88816,0.94112,0.85806,0.36093,0.46493,0.7946,0.0003764,0.0003764,0.0003764
43,1208.99,0.42102,0.51171,0.77602,0.87746,0.88522,0.94671,0.8736,0.36088,0.42263,0.79413,0.0003368,0.0003368,0.0003368
44,1234.77,0.44053,0.51323,0.78012,0.87472,0.89126,0.9471,0.89017,0.3299,0.45231,0.79355,0.0002972,0.0002972,0.0002972
45,1260.6,0.43249,0.48088,0.77804,0.8818,0.88051,0.9498,0.89485,0.30884,0.4064,0.79333,0.0002576,0.0002576,0.0002576
46,1286.38,0.42223,0.5117,0.77542,0.87848,0.89102,0.95071,0.87812,0.33886,0.41971,0.794,0.000218,0.000218,0.000218
47,1312.15,0.38773,0.46162,0.77555,0.87013,0.90843,0.95159,0.89423,0.29835,0.3825,0.79401,0.0001784,0.0001784,0.0001784
48,1337.88,0.37426,0.43667,0.77482,0.88019,0.90626,0.95514,0.89559,0.3065,0.40472,0.7924,0.0001388,0.0001388,0.0001388
49,1363.69,0.36883,0.42396,0.77645,0.88635,0.89084,0.95579,0.909,0.2828,0.39063,0.79178,9.92e-05,9.92e-05,9.92e-05
50,1389.47,0.36844,0.4263,0.77734,0.87976,0.89551,0.95345,0.89863,0.30829,0.38477,0.79234,5.96e-05,5.96e-05,5.96e-05
