               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055864,            0.019881,                   0,                   0,                   0,                   0,                   0,            0.039242,            0.010818,                   0,               0.073,               0.003,               0.003
                   1,              0.0483,           0.0096657,                   0,          2.6882e-05,           0.0062112,          1.3536e-05,          1.3536e-06,            0.030821,           0.0055027,                   0,            0.044979,           0.0059792,           0.0059792
                   2,            0.038323,            0.005924,                   0,          0.00024194,            0.055901,          0.00012904,          1.9935e-05,            0.026812,           0.0042352,                   0,            0.016836,           0.0088357,           0.0088357
                   3,            0.034429,           0.0049651,                   0,           0.0027419,             0.63354,           0.0031479,          0.00073878,            0.024553,           0.0041897,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.028148,            0.004726,                   0,           0.0039516,             0.91304,           0.0086164,           0.0024921,            0.023205,           0.0042474,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.031272,           0.0050854,                   0,           0.0039516,             0.91304,            0.018638,           0.0063704,            0.016219,            0.005373,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032388,           0.0051148,                   0,           0.0034978,             0.80745,           0.0088044,           0.0018118,            0.022079,           0.0044203,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.020919,           0.0057205,                   0,           0.0040591,             0.93789,            0.055087,             0.02132,            0.017863,           0.0051337,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.02536,           0.0054256,                   0,           0.0042473,             0.98137,            0.063498,            0.033345,            0.014358,           0.0053778,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.024051,           0.0055208,                   0,           0.0049621,             0.97516,            0.051972,            0.025529,            0.012754,           0.0054855,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.027081,           0.0053715,                   0,           0.0045005,             0.98137,             0.08823,            0.040841,            0.010444,           0.0056406,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.016971,           0.0047197,                   0,           0.0042473,             0.98137,             0.11888,            0.058478,             0.01259,           0.0053262,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.020797,           0.0051057,                   0,            0.004272,             0.98137,            0.070642,             0.04071,            0.009588,           0.0056075,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.02006,           0.0053676,                   0,           0.0042473,             0.98137,            0.062152,            0.029712,            0.012045,           0.0052679,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021866,           0.0051758,                   0,           0.0044677,             0.98758,            0.085426,            0.040579,            0.012141,           0.0050486,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.020124,            0.005367,                   0,           0.0042742,             0.98758,              0.1174,            0.077704,           0.0096574,           0.0052425,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.015929,           0.0050914,                   0,           0.0042742,             0.98758,             0.13093,            0.072865,           0.0093112,           0.0052734,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.018499,           0.0051323,                   0,           0.0042833,             0.98758,             0.16644,            0.080325,            0.011157,           0.0049693,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.016186,           0.0047308,                   0,           0.0042742,             0.98758,             0.14364,            0.080652,            0.010715,           0.0051137,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.017411,           0.0050344,                   0,           0.0042742,             0.98758,             0.16427,              0.1104,           0.0080339,           0.0052829,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.016806,           0.0051368,                   0,           0.0043156,             0.98758,             0.14726,            0.089431,           0.0095311,           0.0050576,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.02062,           0.0049802,                   0,           0.0044868,             0.98758,             0.11237,            0.069155,           0.0092603,           0.0050918,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.01848,           0.0047337,                   0,             0.01838,             0.99379,             0.16859,             0.11259,           0.0077755,           0.0050233,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.018015,           0.0051029,                   0,            0.030855,             0.98758,             0.17635,             0.13467,           0.0069789,           0.0050289,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.016616,           0.0050009,                   0,            0.044148,             0.98137,             0.17458,             0.11359,           0.0086733,           0.0048006,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.013082,           0.0048791,                   0,             0.12589,             0.55901,             0.16611,            0.090533,            0.010385,           0.0044656,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.016705,           0.0046784,                   0,             0.17686,             0.45342,              0.1828,             0.12777,           0.0070837,           0.0046884,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.012985,           0.0045405,                   0,             0.15555,              0.4472,             0.21623,             0.15449,           0.0079861,           0.0046459,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.013162,           0.0047086,                   0,             0.18229,             0.47205,              0.2204,             0.13981,           0.0085758,           0.0045567,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.012305,           0.0045217,                   0,              0.1868,             0.49068,             0.22518,             0.15103,           0.0088922,            0.004463,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.011396,           0.0047203,                   0,             0.19871,             0.44099,             0.22327,             0.16919,           0.0072322,           0.0044842,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.015995,           0.0042683,                   0,             0.20406,             0.49068,             0.23721,             0.18244,           0.0064916,           0.0045018,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.010253,           0.0045315,                   0,             0.24476,             0.42236,             0.25228,             0.19231,           0.0071011,           0.0045007,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.015076,           0.0042682,                   0,             0.20842,             0.49689,              0.2396,             0.17896,           0.0061933,           0.0044684,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.013999,           0.0044541,                   0,             0.18715,             0.61491,             0.23895,             0.18637,           0.0062759,           0.0043957,                   0,            0.003466,            0.003466,            0.003466
                  35,           0.0097703,           0.0040197,                   0,             0.20576,             0.67081,             0.24314,             0.17273,           0.0076515,           0.0042445,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.01034,           0.0042337,                   0,             0.20949,              0.6087,             0.25984,             0.17492,           0.0077121,           0.0041672,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.01086,           0.0042933,                   0,             0.21964,             0.55901,             0.26406,             0.19249,           0.0068373,           0.0041774,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.013134,           0.0045826,                   0,             0.30423,             0.40994,             0.27645,             0.21691,           0.0061285,           0.0042129,                   0,            0.002674,            0.002674,            0.002674
                  39,           0.0094084,           0.0043969,                   0,             0.29116,             0.40373,             0.27071,             0.20141,           0.0071814,           0.0040927,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.010391,            0.004063,                   0,             0.27002,             0.42857,             0.27599,             0.20174,           0.0069985,           0.0040687,                   0,            0.002278,            0.002278,            0.002278
